コード,銘柄名,業種,市場,株式種類,新NISA成長投資枠
JAKK,ジャックス　パシフィック,その他製品,NASDAQ,普通株式,〇
JANX,ジャナックス　セラピューティクス,医薬品,NASDAQ,普通株式,〇
JAVA,ＪＰモルガン　米国バリュー株式　アクティブ　ＥＴＦ,その他,NYSE_ARCA,ETF,〇
JAZZ,ジャズ　ファーマシューティカルズ,医薬品,NASDAQ,普通株式,〇
JBHT,ＪＢ　ハント　トランスポート　サービシズ,陸運業,NASDAQ,普通株式,〇
JBI,ジェナス　インターナショナル　グループ,金属製品,NYSE,普通株式,〇
JBIO,ジェイドバイオサイエンス,医薬品,NASDAQ,普通株式,〇
JBL,ジェイビル,精密機器,NYSE,普通株式,〇
JBLU,ジェットブルー　エアウェイズ,空運業,NASDAQ,普通株式,〇
JBSS,ジョン　Ｂ．　サンフィリッポ　＆　サン,食料品,NASDAQ,普通株式,〇
JBTM,ＪＢＴ　マレル　コーポレーション,機械,NYSE,普通株式,〇
JCAP,ジェファーソン・キャピタル,その他金融業,NASDAQ,普通株式,〇
JCI,ジョンソンコントロールズインターナショナル,サービス業,NYSE,普通株式,〇
JCSE,ＪＥ　クリーンテック　ホールディングス,その他製品,NASDAQ,普通株式,〇
JCTC,ジューエット－キャメロン　トレーディング,小売業,NASDAQ,普通株式,〇
JD,ＪＤドット・コム　　ＡＤＲ,小売業,NASDAQ,ADR,〇
JEF,ジェフリーズ　ファイナンシャル　グループ,証券、商品先物取引業,NYSE,普通株式,〇
JELD,ジェルド－ウェン　ホールディング,その他製品,NYSE,普通株式,〇
JEPI,ＪＰモルガン　米国株式　プレミアム　インカム　ＥＴＦ,その他,NYSE_ARCA,ETF,
JEPQ,ＪＰモルガンナスダック米国株式プレミアムインカムＥＴＦ,その他,NASDAQ,ETF,
JFIN,嘉銀集団　（ジャイン　グループ）　ＡＤＲ,その他金融業,NASDAQ,ADR,〇
JFU,９Ｆ　ＡＤＲ,その他金融業,NASDAQ,ADR,〇
JG,極光移動（オーロラ　モバイル）　ＡＤＲ,サービス業,NASDAQ,ADR,〇
JGLO,ＪＰモルガン　グローバル　セレクト　エクイティ　ＥＴＦ,その他,NASDAQ,ETF,〇
JGRO,ＪＰモルガン　米国グロース株式　アクティブ　ＥＴＦ,その他,NYSE_ARCA,ETF,〇
JHG,ジャナス　　ヘンダーソン　グループ,証券、商品先物取引業,NYSE,普通株式,〇
JHX,ジェームス・ハーディー・インダストリーズ,その他製品,NYSE,ADR,〇
JILL,Ｊ．ジル,繊維製品,NYSE,普通株式,〇
JJSF,Ｊ＆Ｊ　スナック　フーズ,食料品,NASDAQ,普通株式,〇
JKHY,ジャック・ヘンリー・アンド・アソシエーツ,サービス業,NASDAQ,普通株式,〇
JKS,晶科能源控股（ジンコソーラー　ホールディング）　ＡＤＲ,精密機器,NYSE,ADR,〇
JL,Ｊ－ロング　グループ,小売業,NASDAQ,普通株式,〇
JLL,ジョーンズ　ラング　ラサール,不動産業,NYSE,普通株式,〇
JMIA,ジュミア・テクノロジーズ　ＡＤＲ,小売業,NYSE,ADR,〇
JMSB,ジョン　マーシャル　バンコープ,銀行業,NASDAQ,普通株式,〇
JNJ,ジョンソン　＆　ジョンソン,医薬品,NYSE,普通株式,〇
JNK,ステートストリートＳＰＤＲブルームバーグ　ハイイールドボンド,その他,NYSE_ARCA,ETF,
JNUG,ＤｉｒｅｘｉｏｎデイリーＪゴールドマイナーズブル２倍ＥＴＦ,その他,NYSE_ARCA,ETF,
JOB,ジー　グループ,サービス業,AMEX,普通株式,〇
JOBY,ジョビー　アビエーション,輸送用機器,NYSE,普通株式,〇
JOE,セントジョー,不動産業,NYSE,普通株式,〇
JOUT,ジョンソン　アウトドアーズ,その他製品,NASDAQ,普通株式,〇
JOYY,歓聚時代（ジョイ）　ＡＤＲ,サービス業,NASDAQ,ADR,〇
JPM,ＪＰモルガン　チェース,銀行業,NYSE,普通株式,〇
JPST,ＪＰモルガン　ウルトラショート　インカム　ＥＴＦ,その他,NYSE_ARCA,ETF,
JRSH,ジェラシュ　ホールディングス　（ＵＳ）,繊維製品,NASDAQ,普通株式,〇
JRVR,ジェームズ・リバー・グループ・ホールディングス,保険業,NASDAQ,普通株式,〇
JSPR,ジャスパー　セラピューティクス,医薬品,NASDAQ,普通株式,〇
JUNS,ジュピター　ニューロサイエンシズ,医薬品,NASDAQ,普通株式,〇
JVA,コーヒー　ホールディング,食料品,NASDAQ,普通株式,〇
JWEL,ジョエル　グローバル,小売業,NASDAQ,普通株式,〇
JXG,ＪＸ　ルクスベンチャー　グループ,卸売業,NASDAQ,普通株式,〇
JXI,ｉシェアーズ　グローバル　公益事業　ＥＴＦ,その他,NYSE_ARCA,ETF,〇
JXN,ジャクソン　フィナンシャル,保険業,NYSE,普通株式,〇
JYNT,ジョイント,サービス業,NASDAQ,普通株式,〇
JZ,ジァンジー　エデュケーション　テクノロジー　グループ　ＡＤＲ,サービス業,NASDAQ,ADR,〇
JZXN,ジウジ　ホールディングス,小売業,NASDAQ,普通株式,〇
KAI,カダント,機械,NYSE,普通株式,〇
KALA,カラ　バイオ,医薬品,NASDAQ,普通株式,〇
KALU,カイザー　アルミニウム,非鉄金属,NASDAQ,普通株式,〇
KALV,カルヴィスタ　ファーマシューティカルズ,医薬品,NASDAQ,普通株式,〇
KAPA,カイロス　ファーマ,医薬品,AMEX,普通株式,〇
KARO,カルー,サービス業,NASDAQ,普通株式,〇
KB,ＫＢ　ファイナンシャル　グループ　ＡＤＲ,銀行業,NYSE,ADR,〇
KBH,ＫＢ　ホーム,建設業,NYSE,普通株式,〇
KBR,ＫＢＲ,建設業,NYSE,普通株式,〇
KC,キングソフト　クラウド　ホールディングス　ＡＤＲ,サービス業,NASDAQ,ADR,〇
KD,キンドリル　ホールディングス,サービス業,NYSE,普通株式,〇
KDP,キューリグ　ドクターペッパー,食料品,NASDAQ,普通株式,〇
KE,キンボール　エレクトロニクス,精密機器,NASDAQ,普通株式,〇
KEEL,キール　インフラストラクチャー,その他金融業,NASDAQ,普通株式,〇
KELYA,ケリー　サービシズ　Ａ,サービス業,NASDAQ,普通株式,〇
KELYB,ケリー　サービシズ　Ｂ,サービス業,NASDAQ,普通株式,〇
KEN,ケノンホールディングス,電気・ガス業,NYSE,普通株式,〇
KEP,韓国電力公社（ＫＥＰＣＯ）　ＡＤＲ,電気・ガス業,NYSE,ADR,〇
KEQU,キウォーニー　サイエンティフィック,精密機器,NASDAQ,普通株式,〇
KEX,カービー,海運業,NYSE,普通株式,〇
KEY,キーコープ,銀行業,NYSE,普通株式,〇
KEYS,キーサイト　テクノロジー,精密機器,NYSE,普通株式,〇
KFFB,ケンタッキー　ファースト　フェデラル　バンコープ,銀行業,NASDAQ,普通株式,〇
KFRC,Ｋフォース,サービス業,NYSE,普通株式,〇
KFS,キングスウェイ　ファイナンシャル　サービシズ,保険業,NYSE,普通株式,〇
KFY,コーン　フェリー,サービス業,NYSE,普通株式,〇
KG,ケストレル・グループ,保険業,NASDAQ,普通株式,〇
KGC,キンロス　ゴールド,鉱業,NYSE,普通株式,〇
KGS,コディアック　ガス　サービシズ,電気・ガス業,NYSE,普通株式,〇
KHC,クラフト　ハインツ,食料品,NASDAQ,普通株式,〇
KIDS,オーソピディアトリックス,精密機器,NASDAQ,普通株式,〇
KINS,キングストーン　カンパニーズ,保険業,NASDAQ,普通株式,〇
KITT,ノーティカス　ロボティクス,機械,NASDAQ,普通株式,〇
KKR,ＫＫＲ,証券、商品先物取引業,NYSE,普通株式,〇
KLAC,ＫＬＡ　コーポレーション,精密機器,NASDAQ,普通株式,〇
KLAR,クラーナ,その他金融業,NYSE,普通株式,〇
KLC,キンダーケア　ラーニング　カンパニーズ,サービス業,NYSE,普通株式,〇
KLIC,キューリッキ　アンド　ソファ　インダストリーズ,精密機器,NASDAQ,普通株式,〇
KLRS,カラリス　セラピューティクス,医薬品,NASDAQ,普通株式,〇
KLTR,カルトゥーラ,サービス業,NASDAQ,普通株式,〇
KLXE,ＫＬＸ　エナジー　サービシズ　ホールディングス,鉱業,NASDAQ,普通株式,〇
KMB,キンバリー　クラーク,パルプ・紙,NASDAQ,普通株式,〇
KMDA,カマダ,医薬品,NASDAQ,普通株式,〇
KMI,キンダー　モーガン,電気・ガス業,NYSE,普通株式,〇
KMPR,ケンパー,保険業,NYSE,普通株式,〇
KMRK,Ｋ－テック・ソリューションズ,その他製品,NASDAQ,普通株式,〇
KMT,ケナメタル,機械,NYSE,普通株式,〇
KMTS,ケストラ　メディカル　テクノロジーズ,精密機器,NASDAQ,普通株式,〇
KMX,カーマックス,小売業,NYSE,普通株式,〇
KN,ノウルズ,精密機器,NYSE,普通株式,〇
KNDI,カンディ　テクノロジーズ　グループ,輸送用機器,NASDAQ,普通株式,〇
KNF,ナイフリバー・コーポレーション,鉱業,NYSE,普通株式,〇
KNG,ＦＴＶｅｓｔ　Ｓ＆Ｐ５００配当貴族　ターゲットインカムＥＴＦ,その他,CBOE,ETF,
KNSA,キニクサ・ファーマシューティカルズ,医薬品,NASDAQ,普通株式,〇
KNSL,キンセール　キャピタル　グループ,保険業,NYSE,普通株式,〇
KNTK,キネティック　ホールディングス,電気・ガス業,NYSE,普通株式,〇
KNX,ナイト－スイフト　トランスポーテーション　ホールディングス,陸運業,NYSE,普通株式,〇
KO,コカ－コーラ,食料品,NYSE,普通株式,〇
KOD,コディアック　サイエンシズ,医薬品,NASDAQ,普通株式,〇
KODK,イーストマン　コダック,精密機器,NYSE,普通株式,〇
KOF,コカ　コーラ　フェムサ　ＡＤＲ,食料品,NYSE,ADR,〇
KOMP,ＳＰＤＲＳ＆ＰＫｅｎｓｈｏニュー・エコノミー・コンポジット,その他,NYSE_ARCA,ETF,〇
KOP,コパーズ　ホールディングス,その他製品,NYSE,普通株式,〇
KOPN,コーピン,精密機器,NASDAQ,普通株式,〇
KORE,コア　グループ　ホールディングス,情報・通信業,NYSE,普通株式,〇
KOS,コスモス　エナジー,鉱業,NYSE,普通株式,〇
KOSS,コス,精密機器,NASDAQ,普通株式,〇
KPLT,カタパルト　ホールディングス,サービス業,NASDAQ,普通株式,〇
KPRX,キオラ　ファーマシューティカルズ,医薬品,NASDAQ,普通株式,〇
KPTI,キャリオファーム　セラピューティクス,医薬品,NASDAQ,普通株式,〇
KR,クローガー,小売業,NYSE,普通株式,〇
KRKR,３６Ｋｒ　ホールディングス　ＡＤＲ,サービス業,NASDAQ,ADR,〇
KRMA,グローバルＸ　ＥＳＧ経営企業　ＥＴＦ,その他,NASDAQ,ETF,〇
KRMD,コル　メディカル　システムズ,精密機器,NASDAQ,普通株式,〇
KRMN,カーマン　ホールディングス,輸送用機器,NYSE,普通株式,〇
KRNT,コーニット　デジタル,機械,NASDAQ,普通株式,〇
KRNY,カーニー　ファイナンシャル,銀行業,NASDAQ,普通株式,〇
KRO,クロノス　ワールドワイド,化学,NYSE,普通株式,〇
KROP,グローバルＸ　農業テック　＆　フード　ＥＴＦ,その他,NASDAQ,ETF,〇
KROS,ケロス　セラピューティクス,医薬品,NASDAQ,普通株式,〇
KRRO,コロ　バイオ,医薬品,NASDAQ,普通株式,〇
KRT,カラット　パッケージング,石油・石炭製品,NASDAQ,普通株式,〇
KRUS,くら寿司　ＵＳＡ,小売業,NASDAQ,普通株式,〇
KRYS,クリスタル　バイオテック,医薬品,NASDAQ,普通株式,〇
KSCP,ナイトスコープ,精密機器,NASDAQ,普通株式,〇
KSS,コールズ,小売業,NYSE,普通株式,〇
KT,ＫＴ　ＡＤＲ,情報・通信業,NYSE,ADR,〇
KTB,コントゥール　ブランズ,繊維製品,NYSE,普通株式,〇
KTCC,キー　トロニック,精密機器,NASDAQ,普通株式,〇
KTOS,クレイトス　ディフェンス　＆　セキュリティ　ソリューションズ,輸送用機器,NASDAQ,普通株式,〇
KTTA,パシテア　セラピューティクス,医薬品,NASDAQ,普通株式,〇
KULR,クーラー・テクノロジー・グループ,精密機器,AMEX,普通株式,〇
KURA,クラ　オンコロジー,医薬品,NASDAQ,普通株式,〇
KUST,カスタム　エンターテインメント,精密機器,NASDAQ,普通株式,〇
KVHI,ＫＶＨ　インダストリーズ,精密機器,NASDAQ,普通株式,〇
KVYO,クラビヨ,サービス業,NYSE,普通株式,〇
KW,ケネディ－ウィルソン　ホールディングス,不動産業,NYSE,普通株式,〇
KWM,Ｋウェーブ・メディア,情報・通信業,NASDAQ,普通株式,〇
KWR,クエーカーホートン,石油・石炭製品,NYSE,普通株式,〇
KXI,ｉシェアーズ　グローバル　生活必需品　ＥＴＦ,その他,NYSE_ARCA,ETF,〇
KXIN,カイシン　ホールディングス,小売業,NASDAQ,普通株式,〇
KYIV,キエフスター・グループ,情報・通信業,NASDAQ,普通株式,〇
KYMR,キメラ　セラピューティクス,医薬品,NASDAQ,普通株式,〇
KYNB,キントラ　バイオ,医薬品,NASDAQ,普通株式,〇
KYTX,カイバーナ　セラピューティクス,医薬品,NASDAQ,普通株式,〇
KZIA,カジアセラピューティクスＡＤＲ,医薬品,NASDAQ,ADR,〇
KZR,ケザー　ライフ　サイエンシズ,医薬品,NASDAQ,普通株式,〇
L,ロウズ,保険業,NYSE,普通株式,〇
LAB,スタンダード　バイオツールズ,精密機器,NASDAQ,普通株式,〇
LABD,ＤｉｒｅｘｉｏｎデイリーＳ＆Ｐバイオテック株ベア３倍ＥＴＦ,その他,NYSE_ARCA,ETF,
LABU,Ｄｉｒｅｘｉｏｎ　デイリーＳ＆Ｐバイオテック　ブル３倍ＥＴＦ,その他,NYSE_ARCA,ETF,
LAC,リチウム　アメリカズ,鉱業,NYSE,普通株式,〇
LAD,リチア　モーターズ,小売業,NYSE,普通株式,〇
LAES,シールＳＱ,精密機器,NASDAQ,普通株式,〇
LAKE,レイクランド　インダストリーズ,精密機器,NASDAQ,普通株式,〇
LANV,ランバン　グループ　ホールディングス,繊維製品,NYSE,普通株式,〇
LAR,リチウム　アルジェンティーナ,鉱業,NYSE,普通株式,〇
LARK,ランドマーク　バンコープ,銀行業,NASDAQ,普通株式,〇
LASE,レーザー　フォトニクス,精密機器,NASDAQ,普通株式,〇
LASR,エヌライト,精密機器,NASDAQ,普通株式,〇
LAUR,ロレッテ　エデュケーション,サービス業,NASDAQ,普通株式,〇
LAW,ＣＳ　ディスコ,サービス業,NYSE,普通株式,〇
LB,ランドブリッジ　カンパニー,その他,NYSE,普通株式,〇
LBRDA,リバティ　ブロードバンド　Ａ,情報・通信業,NASDAQ,普通株式,〇
LBRDK,リバティ　ブロードバンド　Ｃ,情報・通信業,NASDAQ,普通株式,〇
LBRT,リバティー　エナジー,鉱業,NYSE,普通株式,〇
LBRX,ＬＢファーマシューティカルズ,医薬品,NASDAQ,普通株式,〇
LBTYA,リバティ　グローバル　Ａ,情報・通信業,NASDAQ,普通株式,〇
LBTYK,リバティ　グローバル　Ｃ,情報・通信業,NASDAQ,普通株式,〇
LC,レンディングクラブ,その他金融業,NYSE,普通株式,〇
LCDL,グラナイトシェアーズ２倍ロング　ＬＣＩＤ　デイリーＥＴＦ,その他,NASDAQ,ETF,
LCFY,ローカファイ,サービス業,NASDAQ,普通株式,〇
LCID,ルーシッド　グループ,輸送用機器,NASDAQ,普通株式,〇
LCII,ＬＣＩ　インダストリーズ,輸送用機器,NYSE,普通株式,〇
LCNB,ＬＣＮＢ,銀行業,NASDAQ,普通株式,〇
LCTX,リネージ・セル・セラピューティクス,医薬品,AMEX,普通株式,〇
LCUT,ライフタイム　ブランズ,金属製品,NASDAQ,普通株式,〇
LDI,ローンデポ,その他金融業,NYSE,普通株式,〇
LDOS,レイドス　ホールディングス,サービス業,NYSE,普通株式,〇
LE,ランズ　エンド,小売業,NASDAQ,普通株式,〇
LEA,リア,輸送用機器,NYSE,普通株式,〇
LECO,リンカーン　エレクトリック　ホールディングス,機械,NASDAQ,普通株式,〇
LEDS,セミＬＥＤｓ,精密機器,NASDAQ,普通株式,〇
LEE,リー　エンタープライゼス,その他製品,NASDAQ,普通株式,〇
LEG,レゲット　アンド　プラット,その他製品,NYSE,普通株式,〇
LEGH,レガシー　ハウジング,その他製品,NASDAQ,普通株式,〇
LEGN,レジェンド　バイオテック　ＡＤＲ,医薬品,NASDAQ,ADR,〇
LEMB,ｉシェアーズＪ．Ｐ．モルガン現地通貨建て新興国債券ＥＴＦ,その他,NYSE_ARCA,ETF,〇
LEN,レナー,建設業,NYSE,普通株式,〇
LEN.B,レナー　Ｂ,建設業,NYSE,普通株式,〇
LENZ,レンズ　セラピューティクス,医薬品,NASDAQ,普通株式,〇
LESL,レスリーズ,小売業,NASDAQ,普通株式,〇
LEU,セントラス・エナジー　クラスＡ,鉱業,NYSE,普通株式,〇
LEVI,リーバイ　ストラウス,繊維製品,NYSE,普通株式,〇
LEXX,レクサリア　バイオサイエンス,医薬品,NASDAQ,普通株式,〇
LFCR,ライフコア　バイオメディカル,医薬品,NASDAQ,普通株式,〇
LFMD,ライフＭＤ,サービス業,NASDAQ,普通株式,〇
LFST,ライフスタンス　ヘルス　グループ,サービス業,NASDAQ,普通株式,〇
LFUS,リテルヒューズ,電気機器,NASDAQ,普通株式,〇
LFVN,ライフヴァンテージ,医薬品,NASDAQ,普通株式,〇
LFWD,ライフワード,精密機器,NASDAQ,普通株式,〇
LGCY,レガシー　エデュケーション,サービス業,AMEX,普通株式,〇
LGHL,ライオン　グループ　ホールディング　ＡＤＲ,証券、商品先物取引業,NASDAQ,ADR,〇
LGIH,ＬＧＩ　ホームズ,建設業,NASDAQ,普通株式,〇
LGL,ＬＧＬ　グループ,精密機器,AMEX,普通株式,〇
LGN,レジェンス,建設業,NASDAQ,普通株式,〇
LGND,リガンド　ファーマシューティカルズ,医薬品,NASDAQ,普通株式,〇
LGO,ラルゴ,鉱業,NASDAQ,普通株式,〇
LGOV,ファーストトラスト長期デュレーションオポチュニティーズＥＴＦ,その他,NYSE_ARCA,ETF,〇
LGVN,ロンジェベロン,医薬品,NASDAQ,普通株式,〇
LH,ラボコープ　ホールディングス,サービス業,NYSE,普通株式,〇
LHX,Ｌ３ハリス　テクノロジーズ,精密機器,NYSE,普通株式,〇
LI,リー　オート　ＡＤＲ,輸送用機器,NASDAQ,ADR,〇
LIDR,エーアイ,輸送用機器,NASDAQ,普通株式,〇
LIF,ライフ３６０,サービス業,NASDAQ,普通株式,〇
LIFE,エトス　テクノロジーズ　Ａ,保険業,NASDAQ,普通株式,〇
LII,レノックス　インターナショナル,機械,NYSE,普通株式,〇
LILA,リバティ　ラテン　アメリカ　Ａ,情報・通信業,NASDAQ,普通株式,〇
LILAK,リバティ　ラテン　アメリカ　Ｃ,情報・通信業,NASDAQ,普通株式,〇
LIN,リンデ,化学,NASDAQ,普通株式,〇
LINC,リンカーン　エデュケーショナル　サービシズ,サービス業,NASDAQ,普通株式,〇
LIND,リンドブラッド　エクスペディションズ　ホールディングス,倉庫・運輸関連業,NASDAQ,普通株式,〇
LINK,インターリンク　エレクトロニクス,精密機器,NASDAQ,普通株式,〇
LION,ライオンズゲート・ステュディオス,サービス業,NYSE,普通株式,〇
LIQT,リクテックインターナショナル,機械,NASDAQ,普通株式,〇
LIT,グローバルＸ　リチウム　＆　バッテリー　テック　ＥＴＦ,その他,NYSE_ARCA,ETF,〇
LITE,ルメンタム　ホールディングス,精密機器,NASDAQ,普通株式,〇
LITS,ライト　ストラテジー,医薬品,NASDAQ,普通株式,〇
LIVE,ライブ　ベンチャーズ,小売業,NASDAQ,普通株式,〇
LIVN,リヴァノヴァ,精密機器,NASDAQ,普通株式,〇
LIXT,リクステ　バイオテクノロジー　ホールディングス,医薬品,NASDAQ,普通株式,〇
LKFN,レイクランド　ファイナンシャル,銀行業,NASDAQ,普通株式,〇
LKQ,ＬＫＱ,卸売業,NASDAQ,普通株式,〇
LLII,ＲＥＸ　ＬＬＹ　グロース＆インカム　ＥＴＦ,その他,CBOE,ETF,
LLY,イーライ　リリィ,医薬品,NYSE,普通株式,〇
LMAT,ルメイトレ　ヴァスキュラー,精密機器,NASDAQ,普通株式,〇
LMB,リンバッハ　ホールディングス,建設業,NASDAQ,普通株式,〇
LMBS,ファーストトラスト　ローデュレーション　オポチュニティーズＥＴＦ,その他,NASDAQ,ETF,
LMFA,ＬＭ　ファンディング　アメリカ,その他金融業,NASDAQ,普通株式,〇
LMND,レモネード,保険業,NYSE,普通株式,〇
LMNR,リモネイラ,水産・農林業,NASDAQ,普通株式,〇
LMRI,ルメクサ・イメージング,精密機器,NASDAQ,普通株式,〇
LMT,ロッキード　マーチン,輸送用機器,NYSE,普通株式,〇
LNAI,ルナ　バイオワークス,医薬品,NASDAQ,普通株式,〇
LNC,リンカーン　ナショナル,保険業,NYSE,普通株式,〇
LND,ブラジルアグロコンパニアブラジレイラＡＤＲ,水産・農林業,NYSE,ADR,〇
LNG,シェニエール　エナジー,電気・ガス業,NYSE,普通株式,〇
LNKB,リンクバンコープ,銀行業,NASDAQ,普通株式,〇
LNKS,リンカーズ・インダストリーズ,電気機器,NASDAQ,普通株式,〇
LNN,リンジー,機械,NYSE,普通株式,〇
LNSR,レンザー,精密機器,NASDAQ,普通株式,〇
LNT,アライアント　エナジー,電気・ガス業,NASDAQ,普通株式,〇
LNTH,ランセウス　ホールディングス,医薬品,NASDAQ,普通株式,〇
LNZA,ランサテック　グローバル,化学,NASDAQ,普通株式,〇
LOAR,ロアー　ホールディングス,輸送用機器,NYSE,普通株式,〇
LOB,ライブ　オーク　バンクシェアズ,銀行業,NYSE,普通株式,〇
LOCL,ローカル　バウンティ,水産・農林業,NYSE,普通株式,〇
LOCO,エル　ポヨ　ロコ　ホールディングス,小売業,NASDAQ,普通株式,〇
LODE,コムストック・マイニング,化学,AMEX,普通株式,〇
LOGI,ロジテックインターナショナル,精密機器,NASDAQ,普通株式,〇
LOMA,ロマネグラＡＤＲ,ガラス・土石製品,NYSE,ADR,〇
LONA,レオナバイオ,医薬品,NASDAQ,普通株式,〇
LOOP,ループ　インダストリーズ,化学,NASDAQ,普通株式,〇
LOPE,グランド　キャニオン　エデュケーション,サービス業,NASDAQ,普通株式,〇
LOT,ロータス　テクノロジー　ＡＤＲ,輸送用機器,NASDAQ,ADR,〇
LOVE,ラブサック,小売業,NASDAQ,普通株式,〇
LOW,ロウズ　カンパニーズ,小売業,NYSE,普通株式,〇
LPA,ロジスティック　プロパティーズ　オブ　ザ　アメリカズ,不動産業,AMEX,普通株式,〇
LPCN,リポシン,医薬品,NASDAQ,普通株式,〇
LPG,ドリアン　ＬＰＧ,海運業,NYSE,普通株式,〇
LPL,ＬＧ　ディスプレイ　ＡＤＲ,精密機器,NYSE,ADR,〇
LPLA,ＬＰＬ　ファイナンシャル　ホールディングス,証券、商品先物取引業,NASDAQ,普通株式,〇
LPRO,オープン　レンディング,その他金融業,NASDAQ,普通株式,〇
LPSN,ライブパーソン,サービス業,NASDAQ,普通株式,〇
LPTH,ライトパス　テクノロジーズ,精密機器,NASDAQ,普通株式,〇
LPX,ルイジアナ－パシフィック,その他製品,NYSE,普通株式,〇
LQD,ｉシェアーズ　ｉＢｏｘｘ　米ドル建て　投資適格社債　ＥＴＦ,その他,NYSE_ARCA,ETF,
LQDA,リキディア,医薬品,NASDAQ,普通株式,〇
LQDT,リクイディティ　サービシズ,サービス業,NASDAQ,普通株式,〇
LQTI,ＦＴ　Ｖｅｓｔ　投資適格債＆ターゲットインカムＥＴＦ,その他,NYSE_ARCA,ETF,
LRCX,ラムリサーチ,機械,NASDAQ,普通株式,〇
LRMR,ラリマー　セラピューティクス,医薬品,NASDAQ,普通株式,〇
LRN,ストライド,サービス業,NYSE,普通株式,〇
LSAK,レサカ　テクノロジーズ,銀行業,NASDAQ,普通株式,〇
LSBK,レイク　ショア　バンコープ,銀行業,NASDAQ,普通株式,〇
LSCC,ラティス　セミコンダクター,精密機器,NASDAQ,普通株式,〇
LSH,レイクサイド　ホールディング,倉庫・運輸関連業,NASDAQ,普通株式,〇
LSPD,ライトスピードコマース,サービス業,NYSE,普通株式,〇
LSTA,リサータ　セラピューティクス,サービス業,NASDAQ,普通株式,〇
LSTR,ランドスター　システム,陸運業,NASDAQ,普通株式,〇
LTBR,ライトブリッジ,サービス業,NASDAQ,普通株式,〇
LTH,ライフ　タイム　グループ　ホールディングス,サービス業,NYSE,普通株式,〇
LTRN,ランタン　ファーマ,医薬品,NASDAQ,普通株式,〇
LTRX,ラントロニクス,精密機器,NASDAQ,普通株式,〇
LTTI,ＦＴ　Ｖｅｓｔ　２０年超米国債＆ターゲットインカムＥＴＦ,その他,NYSE_ARCA,ETF,
LU,陸金所　（ルファックス　ホールディング）　ＡＤＲ,その他金融業,NYSE,ADR,〇
LUCD,ルシード　ダイアグノスティクス,精密機器,NASDAQ,普通株式,〇
LUCK,ラッキーストライク　エンターテインメント,サービス業,NYSE,普通株式,〇
LUCY,イノベーティブ　アイウェア,精密機器,NASDAQ,普通株式,〇
LULU,ルルレモン　アスレティカ,繊維製品,NASDAQ,普通株式,〇
LUMN,ルーメン　テクノロジーズ,情報・通信業,NYSE,普通株式,〇
LUNG,プルモンクス,精密機器,NASDAQ,普通株式,〇
LUNR,インテュイティブ　マシーンズ,精密機器,NASDAQ,普通株式,〇
LUV,サウスウエスト　エアラインズ,空運業,NYSE,普通株式,〇
LVLU,ルルズ　ファッション　ラウンジ　ホールディングス,小売業,NASDAQ,普通株式,〇
LVO,ライブワン,小売業,NASDAQ,普通株式,〇
LVS,ラスベガス　サンズ,サービス業,NYSE,普通株式,〇
LVWR,ライブワイヤ　グループ,輸送用機器,NYSE,普通株式,〇
LW,ラム・ウェストン・ホールディングス,食料品,NYSE,普通株式,〇
LWAY,ライフウェイ　フーズ,食料品,NASDAQ,普通株式,〇
LWLG,ライトウェーブ　ロジック,石油・石炭製品,NASDAQ,普通株式,〇
LX,レキシンフィンテック　ホールディングス　ＡＤＲ,その他金融業,NASDAQ,ADR,〇
LXEO,レキシオ　セラピューティクス,医薬品,NASDAQ,普通株式,〇
LXFR,ラックスファー　ホールディングス,化学,NYSE,普通株式,〇
LXRX,レキシコン　ファーマシューティカルズ,医薬品,NASDAQ,普通株式,〇
LXU,ＬＳＢ　インダストリーズ,化学,NYSE,普通株式,〇
LYB,ライオンデルバセル・インダストリーズ,化学,NYSE,普通株式,〇
LYEL,ライエル　イムノファーマ,医薬品,NASDAQ,普通株式,〇
LYFT,リフト,サービス業,NASDAQ,普通株式,〇
LYG,ロイズ　バンキング　グループ　ＡＤＲ,銀行業,NYSE,ADR,〇
LYTS,ＬＳＩ　インダストリーズ,電気機器,NASDAQ,普通株式,〇
LYV,ライブ　ネイション　エンターテインメント,サービス業,NYSE,普通株式,〇
LZ,リーガルズーム　ドットコム,サービス業,NASDAQ,普通株式,〇
LZB,レイジーボーイ,その他製品,NYSE,普通株式,〇
LZM,ライフゾーン　メタルズ,鉱業,NYSE,普通株式,〇
M,メーシーズ,小売業,NYSE,普通株式,〇
MA,マスターカード,サービス業,NYSE,普通株式,〇
MAAS,マーゼ,証券、商品先物取引業,NASDAQ,ADR,〇
MAAY,グラナイトシェアーズ　イールドブーストＭＡＲＡ　ＥＴＦ,その他,NASDAQ,ETF,
MAGN,マグネラ,パルプ・紙,NYSE,普通株式,〇
MAGS,ラウンドヒル・マグニフィセント７・ＥＴＦ,その他,CBOE,ETF,
MAIA,マイア　バイオテクノロジー,医薬品,AMEX,普通株式,〇
MAIR,マディソン　エア　ソリューションズ,電気機器,NYSE,普通株式,〇
MAMA,ママズ　クリエーションズ,食料品,NASDAQ,普通株式,〇
MAMO,マッシモ　グループ,輸送用機器,NASDAQ,普通株式,〇
MAN,マンパワーグループ,サービス業,NYSE,普通株式,〇
MANE,ヴェラダーミックス,医薬品,NYSE,普通株式,〇
